date,ust1,ust2,ust5,ust10,ust5vs2,ust10vs2
20001013,6.0952040088,5.7888064215,5.671070547,5.6446381468,-0.1177358745,-0.1441682747
20001016,6.1259182445,5.8217272851,5.6852598814,5.652799658,-0.136467403699999,-0.1689276271
20001017,6.1003416126,5.7737045911,5.6277167422,5.5953054857,-0.145987848899999,-0.1783991054
20001018,6.1286764265,5.7735589304,5.6336121573,5.5871783574,-0.1399467731,-0.186380573
20001019,6.1238169845,5.781770008,5.6332574706,5.5714515929,-0.1485125374,-0.210318415100001
20001020,6.127296064,5.7711790206,5.6132366445,5.5532106341,-0.1579423761,-0.2179683865
20001023,6.1420863364,5.753950492,5.5933626753,5.5071892073,-0.160587816700001,-0.246761284700001
20001024,6.1752762375,5.7495822934,5.618946012,5.5470745655,-0.130636281399999,-0.2025077279
20001025,6.2171540504,5.8378720903,5.6670234613,5.5952503973,-0.170848629,-0.242621693
20001026,6.2167221623,5.8589322292,5.6774713733,5.6059280128,-0.181460855899999,-0.2530042164
20001027,6.2376323041,5.8885196442,5.7005352452,5.6283464219,-0.187984399,-0.260173222300001
20001030,6.2408318551,5.9161990736,5.7248390689,5.6508337907,-0.1913600047,-0.265365282899999
20001031,6.2027237419,5.8327911938,5.7121998982,5.6713215028,-0.120591295600001,-0.161469691000001
20001101,6.1745905799,5.7878168408,5.6850532368,5.659038741,-0.102763604,-0.1287780998
20001102,6.1622711101,5.7795980316,5.6833235342,5.6590487911,-0.0962744974,-0.1205492405
20001103,6.2058788723,5.8492852108,5.7659537962,5.7413157156,-0.0833314146,-0.1079694952
20001106,6.2292745001,5.8865351071,5.7837903804,5.7703512052,-0.1027447267,-0.1161839019
20001107,6.2290755136,5.8907659352,5.7926961429,5.7786732871,-0.098069792300001,-0.1120926481
20001108,6.2167154076,5.8702087294,5.7804059053,5.7662795646,-0.0898028241,-0.1039291648
20001109,6.1880367496,5.8413367007,5.7328150592,5.7311605309,-0.1085216415,-0.1101761698
20001110,6.1592147438,5.8062005096,5.7002541669,5.710556332,-0.1059463427,-0.0956441776
20001113,6.1498705587,5.7916806913,5.6739210623,5.680246076,-0.117759629,-0.111434615299999
20001114,6.1659451951,5.8166259511,5.6792348227,5.6653573905,-0.1373911284,-0.1512685606
20001115,6.1573347789,5.8083186339,5.6554634466,5.6284393724,-0.1528551873,-0.1798792615
20001116,6.1197031843,5.7666447997,5.6068985794,5.58601168,-0.1597462203,-0.1806331197
20001117,6.1150782972,5.7874726428,5.6622291929,5.6202613048,-0.1252434499,-0.167211338
20001120,6.1136226221,5.7706850339,5.6300327448,5.5895869475,-0.140652289099999,-0.1810980864
20001121,6.104745422,5.7706564237,5.6228205279,5.5732475748,-0.1478358958,-0.1974088489
20001122,6.1084456886,5.749631635,5.5909176903,5.5411369557,-0.1587139447,-0.2084946793
20001124,6.1328474864,5.7684725666,5.6011612423,5.5436667405,-0.1673113243,-0.2248058261
20001127,6.1443853908,5.7705116243,5.6041995076,5.5467042318,-0.1663121167,-0.2238073925
20001128,6.1011956897,5.7070229058,5.5510505615,5.5059842315,-0.155972344299999,-0.201038674299999
20001129,6.0148862794,5.6096189274,5.4821476393,5.4492028457,-0.1274712881,-0.160416081699999
20001130,6.0167360893,5.5795648052,5.43973316,5.3946936472,-0.1398316452,-0.184871158
20001201,5.9931599485,5.5793131688,5.4465246777,5.4390398693,-0.132788491099999,-0.1402732995
