date,low,high,close,volume,open
2003-01-14,92.36,93.42,93.12,2637200,92.97
2003-01-15,91.85,93.5,92.17,401800,93.41
2003-01-16,91.44,92.93,91.64,198100,92.53
2003-01-17,90.11,91.3,90.78,282500,90.93
2003-01-21,89,90.99,89.08,459700,90.99
2003-01-22,88.03,89.24,88.03,315300,88.65
2003-01-23,88,89.32,88.73,239800,88.65
2003-01-24,86.2,88.59,86.3,1039800,88.59
2003-01-27,84.63,86.64,85.03,270000,85.8
2003-01-28,85.13,86.32,85.83,401400,85.5
2003-01-29,84.82,87.08,86.52,606100,85.55
2003-01-30,84.47,86.82,84.5,258400,86.6
2003-01-31,84.34,86.17,86.17,462600,84.34
2003-02-03,85.93,86.78,86.19,206800,85.93
2003-02-04,84.3,85.45,85.3,181900,85.45
2003-02-05,84.5,86.45,84.82,296300,85.73
2003-02-06,83.57,84.73,83.88,519600,84.39
2003-02-07,83,84.94,83.56,238800,84.87
2003-02-10,82.61,84.06,83.95,175000,83.4
2003-02-11,82.9,84.64,83.48,143200,84.33
2003-02-12,82.2,83.6,82.2,183800,83.16
2003-02-13,81,82.53,82.29,157000,82.1
2003-02-14,81.94,84.02,84.02,287300,82.3
2003-02-18,84.59,85.79,85.74,198200,84.59
2003-02-19,84.2,85.4,85.06,304000,85.4
2003-02-20,84.05,85.39,84.27,116700,85.25
2003-02-21,83.42,85.65,85.24,79800,84.33
2003-02-24,83.59,84.91,83.59,108100,84.91
2003-02-25,82.18,84.55,84.55,434300,82.95
2003-02-26,83.1,84.29,83.31,106100,84.03
2003-02-27,83.33,84.7,84.35,72000,83.6
2003-02-28,84.15,85.11,84.97,235100,84.38
2003-03-03,83.74,85.77,84.09,96900,85.4
2003-03-04,82.62,84.05,82.77,537700,84.05
2003-03-05,82.36,83.53,83.53,167200,82.67
2003-03-06,82.43,83.22,82.75,352500,82.7
2003-03-07,81.43,83.5,83.45,194200,81.53
2003-03-10,80.75,82.44,81,339700,82.3
2003-03-11,80.2,81.61,80.25,235200,81.22
2003-03-12,79.06,80.79,80.79,322300,80.17
2003-03-13,81.18,83.47,83.47,162400,81.94
2003-03-14,83.03,84.41,83.65,186300,83.79
2003-03-17,82.96,86.63,86.43,366400,83
2003-03-18,85.97,86.98,86.98,281100,86.81
2003-03-19,86.36,87.78,87.61,394300,86.87
2003-03-20,86.06,88.27,87.87,214900,87.2
2003-03-21,87.91,89.82,89.65,502900,88.85
