,rawdate,year,month,day,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so
2971,20120313,2012,03,13,2012-03-13,-0.173204669343084,-0.166560290465566,140.56,0.435189737616691,-0.186701013539006,1.36295474110839,1.2411948492974,0.113161788070449,0.074859494701064,0.762226746182017,-0.001094201497493,-0.280611649085606,-0.372875320648324,-0.411837207014006,1.09844705030532
2972,20120314,2012,03,14,2012-03-14,-0.144159466433053,-0.159495234760586,140.38,-0.090902656527856,-0.14924932112521,-0.195311098787782,-0.17170936188012,-0.280592946623737,-0.27710396900275,0.842856240753585,-0.000635825392245,-0.27450675319221,-0.368812738998409,-0.411122988533723,1.00817731499936
2973,20120315,2012,03,15,2012-03-15,-0.138225500247133,-0.152845770567662,141.22,0.064197231906585,-0.149665451040918,0.481511437732768,0.440071658742605,-0.267529993340034,-0.267388028452165,0.941089197600371,-0.001378388286177,-0.268918360280086,-0.36469418113074,-0.410461384894463,1.09844705030532
2974,20120316,2012,03,16,2012-03-16,-0.120319497019444,-0.14619630637474,141.41,-0.010368550668335,-0.131771864665438,-0.045780538393706,-0.035663565589057,-0.469072701145579,-0.447114014908358,1.01619038338452,-0.001514032657526,-0.263296098320009,-0.361016974210732,-0.409444910944467,1.09844705030532
2975,20120319,2012,03,19,2012-03-19,-0.118237403620876,-0.129157054380375,141.99001,0.104024312286518,-0.134060579201837,0.497259366751124,0.451855308312982,-0.200349090738182,-0.209675216411517,1.09379559971583,-0.001881706902903,-0.257606094030396,-0.357563670008799,-0.408344476022309,1.09844705030532
2976,20120320,2012,03,20,2012-03-20,-0.127815033254291,-0.143079162238551,141.56,0.00202719769199,-0.138013813401071,0.308370788855439,0.283176104347341,-0.278723078167975,-0.278132589975365,1.11684296328233,-0.000707690835608,-0.251979598439326,-0.353675475806495,-0.407148887719891,0.92794852008831
2977,20120321,2012,03,21,2012-03-21,-0.121985171738299,-0.142248187010192,141.3,-0.018632382908552,-0.128650890297622,-0.250401305248752,-0.220228040569773,-0.368301347242812,-0.357285687273222,1.10624764692663,0.000400163435969,-0.246530911116373,-0.350112374253442,-0.405827919370777,0.824858782974245
2978,20120322,2012,03,22,2012-03-22,-0.146553873841407,-0.165729315237207,140.33,1.24596350074019,-0.156115464734406,0.025049727056123,0.028326722228582,-0.349643717681329,-0.338884783809127,1.0303056538588,0.014911730180119,-0.241983991428781,-0.347686020507042,-0.404602105521388,0.44025476374099
2979,20120323,2012,03,23,2012-03-23,-0.150718060638545,-0.160118622028672,140.81,0.043116807997513,-0.152578360450881,0.269020641383304,0.249037420449465,-0.174223184170799,-0.183066691966308,0.983902451211908,0.005928316503762,-0.237276193763415,-0.345154173119495,-0.403263226856496,0.630574278413112
2980,20120326,2012,03,26,2012-03-26,-0.120735915699158,-0.136429905841384,142.06,-0.176333848159357,-0.139054138190343,0.741222411048808,0.67047010560292,-0.286191355173886,-0.285877758776117,1.00358518548994,0.000293830195778,-0.23217043478461,-0.34165350657855,-0.401893003179931,1.09844705030532
2981,20120327,2012,03,27,2012-03-27,-0.110741867386029,-0.130819420428605,141.67,-0.186548863011848,-0.115958927868502,-0.439282013114963,-0.389526643946535,-0.364569074876035,-0.354605255794507,0.984483611779784,0.002644360788646,-0.227018105864872,-0.337517725259266,-0.40036717167077,0.866325383961786
2982,20120328,2012,03,28,2012-03-28,-0.141140431005129,-0.14141679619032,141,0.266737638757085,-0.128858955255476,-0.478632160587097,-0.426972615663077,-0.009999467760578,-0.037120755739173,0.919789808813431,0.015493687502523,-0.222255270996583,-0.333941706117501,-0.398927540063176,0.382592291519922
2983,20120329,2012,03,29,2012-03-29,-0.152383735357399,-0.160326417784701,140.71001,0.183563697598606,-0.16006869893364,0.473649278267847,0.43452170214357,-0.148097277603416,-0.159415011155179,0.841045082851582,0.048900556783952,-0.218229083687626,-0.330916835274514,-0.39770060562962,0.182179791748122
